hospital_id,datetime_hour,er_occupancy,staffing_level,avg_wait_time_last_hour,patients_left_without_being_seen_last_hour
H01,01-01-2024 00:00,36,17,102,2
H01,01-01-2024 01:00,14,11,116,1
H01,01-01-2024 02:00,6,15,106,0
H01,01-01-2024 03:00,10,6,68,0
H01,01-01-2024 04:00,30,11,118,2
H01,01-01-2024 05:00,46,9,79,2
H01,01-01-2024 06:00,33,15,48,0
H01,01-01-2024 07:00,18,17,34,2
H01,01-01-2024 08:00,32,11,46,2
H01,01-01-2024 09:00,20,10,51,0
H01,01-01-2024 10:00,15,10,98,0
H01,01-01-2024 11:00,54,10,65,1
H01,01-01-2024 12:00,7,19,69,2
H01,01-01-2024 13:00,21,18,60,2
H01,01-01-2024 14:00,7,7,35,0
H01,01-01-2024 15:00,38,5,47,1
H01,01-01-2024 16:00,36,13,59,0
H01,01-01-2024 17:00,30,,92,1
H01,01-01-2024 18:00,52,16,88,0
H01,01-01-2024 19:00,26,6,84,1
H01,01-01-2024 20:00,51,15,44,2
H01,01-01-2024 21:00,44,22,84,1
H01,01-01-2024 22:00,10,22,21,2
H01,01-01-2024 23:00,7,8,112,1
H01,02-01-2024 00:00,31,14,59,1
H01,02-01-2024 01:00,6,8,43,0
H01,02-01-2024 02:00,24,10,62,2
H01,02-01-2024 03:00,57,14,110,0
H01,02-01-2024 04:00,11,18,23,0
H01,02-01-2024 05:00,10,24,49,1
H01,02-01-2024 06:00,47,12,111,0
H01,02-01-2024 07:00,10,19,22,1
H01,02-01-2024 08:00,42,20,82,1
H01,02-01-2024 09:00,17,5,44,2
H01,02-01-2024 10:00,40,15,102,0
H01,02-01-2024 11:00,57,22,62,1
H01,02-01-2024 12:00,17,14,65,0
H01,02-01-2024 13:00,14,11,44,2
H01,02-01-2024 14:00,30,13,106,2
H01,02-01-2024 15:00,5,15,28,2
H01,02-01-2024 16:00,54,16,61,1
H01,02-01-2024 17:00,43,,102,0
H01,02-01-2024 18:00,26,5,28,2
H01,02-01-2024 19:00,48,13,37,2
H01,02-01-2024 20:00,7,12,76,1
H01,02-01-2024 21:00,44,11,26,2
H01,02-01-2024 22:00,21,24,46,0
H01,02-01-2024 23:00,55,8,59,1
H01,03-01-2024 00:00,40,14,25,1
H01,03-01-2024 01:00,32,17,119,1
