hospital_id,datetime_hour,er_occupancy,staffing_level,avg_wait_time_last_hour,patients_left_without_being_seen_last_hour
H01,2024-01-01 00:00,36,17.0,102,2
H01,2024-01-01 01:00,14,11.0,116,1
H01,2024-01-01 02:00,6,15.0,106,0
H01,2024-01-01 03:00,10,6.0,68,0
H01,2024-01-01 04:00,30,11.0,118,2
H01,2024-01-01 05:00,46,9.0,79,2
H01,2024-01-01 06:00,33,15.0,48,0
H01,2024-01-01 07:00,18,17.0,34,2
H01,2024-01-01 08:00,32,11.0,46,2
H01,2024-01-01 09:00,20,10.0,51,0
H01,2024-01-01 10:00,15,10.0,98,0
H01,2024-01-01 11:00,54,10.0,65,1
H01,2024-01-01 12:00,7,19.0,69,2
H01,2024-01-01 13:00,21,18.0,60,2
H01,2024-01-01 14:00,7,7.0,35,0
H01,2024-01-01 15:00,38,5.0,47,1
H01,2024-01-01 16:00,36,13.0,59,0
H01,2024-01-01 17:00,30,,92,1
H01,2024-01-01 18:00,52,16.0,88,0
H01,2024-01-01 19:00,26,6.0,84,1
H01,2024-01-01 20:00,51,15.0,44,2
H01,2024-01-01 21:00,44,22.0,84,1
H01,2024-01-01 22:00,10,22.0,21,2
H01,2024-01-01 23:00,7,8.0,112,1
H01,2024-01-02 00:00,31,14.0,59,1
H01,2024-01-02 01:00,6,8.0,43,0
H01,2024-01-02 02:00,24,10.0,62,2
H01,2024-01-02 03:00,57,14.0,110,0
H01,2024-01-02 04:00,11,18.0,23,0
H01,2024-01-02 05:00,10,24.0,49,1
H01,2024-01-02 06:00,47,12.0,111,0
H01,2024-01-02 07:00,10,19.0,22,1
H01,2024-01-02 08:00,42,20.0,82,1
H01,2024-01-02 09:00,17,5.0,44,2
H01,2024-01-02 10:00,40,15.0,102,0
H01,2024-01-02 11:00,57,22.0,62,1
H01,2024-01-02 12:00,17,14.0,65,0
H01,2024-01-02 13:00,14,11.0,44,2
H01,2024-01-02 14:00,30,13.0,106,2
H01,2024-01-02 15:00,5,15.0,28,2
H01,2024-01-02 16:00,54,16.0,61,1
H01,2024-01-02 17:00,43,,102,0
H01,2024-01-02 18:00,26,5.0,28,2
H01,2024-01-02 19:00,48,13.0,37,2
H01,2024-01-02 20:00,7,12.0,76,1
H01,2024-01-02 21:00,44,11.0,26,2
H01,2024-01-02 22:00,21,24.0,46,0
H01,2024-01-02 23:00,55,8.0,59,1
H01,2024-01-03 00:00,40,14.0,25,1
H01,2024-01-03 01:00,32,17.0,119,1
H01,2024-01-03 02:00,9,12.0,108,1
H01,2024-01-03 03:00,7,11.0,58,0
H01,2024-01-03 04:00,57,10.0,79,2
H01,2024-01-03 05:00,35,5.0,67,1
H01,2024-01-03 06:00,54,8.0,106,1
H01,2024-01-03 07:00,12,19.0,54,2
H01,2024-01-03 08:00,33,19.0,115,2
H01,2024-01-03 09:00,48,,57,1
H01,2024-01-03 10:00,10,11.0,103,1
H01,2024-01-03 11:00,50,7.0,23,2
H01,2024-01-03 12:00,50,8.0,32,0
H01,2024-01-03 13:00,16,5.0,77,1
H01,2024-01-03 14:00,37,20.0,111,0
H01,2024-01-03 15:00,44,16.0,74,2
H01,2024-01-03 16:00,18,8.0,48,1
H01,2024-01-03 17:00,49,19.0,83,2
H01,2024-01-03 18:00,22,16.0,26,1
H01,2024-01-03 19:00,41,9.0,93,2
H01,2024-01-03 20:00,34,10.0,33,0
H01,2024-01-03 21:00,28,15.0,69,0
H01,2024-01-03 22:00,58,16.0,111,0
H01,2024-01-03 23:00,38,9.0,46,2
H01,2024-01-04 00:00,20,5.0,113,2
H01,2024-01-04 01:00,46,9.0,74,2
H01,2024-01-04 02:00,53,24.0,93,2
H01,2024-01-04 03:00,23,16.0,25,1
H01,2024-01-04 04:00,16,10.0,97,2
H01,2024-01-04 05:00,15,6.0,25,1
H01,2024-01-04 06:00,26,7.0,100,2
H01,2024-01-04 07:00,14,15.0,107,0
H01,2024-01-04 08:00,29,5.0,49,0
H01,2024-01-04 09:00,52,21.0,119,0
H01,2024-01-04 10:00,10,10.0,51,1
H01,2024-01-04 11:00,5,18.0,114,0
H01,2024-01-04 12:00,35,21.0,22,0
H01,2024-01-04 13:00,45,15.0,46,1
H01,2024-01-04 14:00,49,8.0,28,1
H01,2024-01-04 15:00,10,14.0,98,1
H01,2024-01-04 16:00,49,8.0,31,1
H01,2024-01-04 17:00,53,17.0,34,2
H01,2024-01-04 18:00,7,16.0,73,0
H01,2024-01-04 19:00,21,16.0,38,0
H01,2024-01-04 20:00,18,22.0,102,2
H01,2024-01-04 21:00,6,6.0,23,2
